사업장명,Keyword_Review_Summary,Facility_Available,Parking_Available
나루토 오모테나시,"{'""음식이 맛있어요""': 610, '""친절해요""': 439, '""특별한 메뉴가 있어요""': 304, '""재료가 신선해요""': 189}",[],False
서래옥,"{'""음식이 맛있어요""': 321, '""친절해요""': 92, '""재료가 신선해요""': 79, '""혼밥하기 좋아요""': 78}","['콜키지 가능', '콜키지 가능', '단체 이용 가능', '포장', '무선 인터넷', '예약', '유아의자']",True
코너펍 Corner Pub,"{'""술이 다양해요""': 54, '""음악이 좋아요""': 30, '""음식이 맛있어요""': 19, '""가성비가 좋아요""': 15}","['단체 이용 가능', '포장', '남/녀 화장실 구분', '무선 인터넷', '예약']",False
멜로우,"{'""디저트가 맛있어요""': 118, '""커피가 맛있어요""': 111, '""음료가 맛있어요""': 88, '""친절해요""': 84}","['예약', '단체 이용 가능', '무선 인터넷', '포장', '배달', '반려동물 동반']",False
민트하임,"{'""디저트가 맛있어요""': 128, '""특별한 메뉴가 있어요""': 110, '""음료가 맛있어요""': 69, '""커피가 맛있어요""': 48}","['포장', '남/녀 화장실 구분']",False
먹보식당,"{'""음식이 맛있어요""': 66, '""반찬이 잘 나와요""': 49, '""가성비가 좋아요""': 47, '""혼밥하기 좋아요""': 44}","['단체 이용 가능', '포장', '무선 인터넷']",False
웰빙뚝배기,"{'""음식이 맛있어요""': 29, '""가성비가 좋아요""': 9, '""양이 많아요""': 8, '""혼밥하기 좋아요""': 6}","['포장', '예약', '남/녀 화장실 구분', '단체 이용 가능']",False
디스틸,"{'""술이 다양해요""': 43, '""혼술하기 좋아요""': 29, '""친절해요""': 25, '""음식이 맛있어요""': 24}","['반려동물 동반', '남/녀 화장실 구분', '무선 인터넷']",False
홍익수제비,"{'""음식이 맛있어요""': 57, '""가성비가 좋아요""': 38, '""친절해요""': 24, '""혼밥하기 좋아요""': 23}",[],False
불나방,"{'""음식이 맛있어요""': 169, '""친절해요""': 73, '""대화하기 좋아요""': 73, '""가성비가 좋아요""': 57}","['예약', '무선 인터넷', '반려동물 동반']",False
미스타교자,"{'""음식이 맛있어요""': 847, '""가성비가 좋아요""': 528, '""친절해요""': 467, '""특별한 메뉴가 있어요""': 365}","['포장', '무선 인터넷', '반려동물 동반']",False
길리건스,"{'""술이 다양해요""': 137, '""인테리어가 멋져요""': 109, '""친절해요""': 99, '""음식이 맛있어요""': 92}","['남/녀 화장실 구분', '무선 인터넷']",False
해피벤처,"{'""음식이 맛있어요""': 77, '""혼밥하기 좋아요""': 38, '""가성비가 좋아요""': 37, '""재료가 신선해요""': 28}","['예약', '포장', '배달']",False
치킨인더키친,"{'""음식이 맛있어요""': 58, '""친절해요""': 32, '""양이 많아요""': 24, '""재료가 신선해요""': 20}","['포장', '무선 인터넷', '배달', '예약']",False
이문어세상,"{'""음식이 맛있어요""': 181, '""재료가 신선해요""': 91, '""친절해요""': 76, '""양이 많아요""': 44}","['단체 이용 가능', '예약', '무선 인터넷', '반려동물 동반', '포장']",True
합정구락부,"{'""음식이 맛있어요""': 94, '""친절해요""': 47, '""인테리어가 멋져요""': 33, '""특별한 메뉴가 있어요""': 30}",[],False
멸치국수,"{'""음식이 맛있어요""': 445, '""가성비가 좋아요""': 299, '""혼밥하기 좋아요""': 245, '""친절해요""': 112}",[],False
키오쿠,"{'""음식이 맛있어요""': 76, '""기본 안주가 좋아요""': 30, '""친절해요""': 29, '""대화하기 좋아요""': 25}",[],False
끼니꺼리,"{'""음식이 맛있어요""': 43, '""혼밥하기 좋아요""': 31, '""반찬이 잘 나와요""': 31, '""가성비가 좋아요""': 25}","['예약', '남/녀 화장실 구분', '단체 이용 가능', '무선 인터넷']",True
조박사복해장국,"{'""음식이 맛있어요""': 129, '""재료가 신선해요""': 39, '""특별한 메뉴가 있어요""': 29, '""친절해요""': 24}","['포장', '남/녀 화장실 구분']",False
형제상회,"{'""음식이 맛있어요""': 92, '""친절해요""': 43, '""가성비가 좋아요""': 37, '""기본 안주가 좋아요""': 31}","['무선 인터넷', '예약']",False
스시경,"{'""음식이 맛있어요""': 37, '""가성비가 좋아요""': 21, '""재료가 신선해요""': 17, '""친절해요""': 14}",[],False
카미야,"{'""음식이 맛있어요""': 722, '""가성비가 좋아요""': 353, '""친절해요""': 219, '""양이 많아요""': 202}","['포장', '무선 인터넷']",False
대청마루,"{'""음식이 맛있어요""': 332, '""친절해요""': 87, '""가성비가 좋아요""': 82, '""양이 많아요""': 78}",[],False
