소재지면적,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
30.00,서울특별시 마포구 합정동 433-60,"서울특별시 마포구 포은로 52-1, 1층 (합정동)",카멜스키친,일식,191702.83876517,449995.356920098
23.14,서울특별시 마포구 합정동 372-30번지 1층우측 ,"서울특별시 마포구 성지1길 18 (합정동,1층우측)",청주식당,한식,192364.532453294,449537.531904146
33.00,서울특별시 마포구 합정동 396-14 1층일부 ,"서울특별시 마포구 포은로 11 (합정동, 1층일부)",잇텐고,한식,191908.504642336,449666.791135178
80.50,서울특별시 마포구 합정동 388-20 지1층,"서울특별시 마포구 월드컵로3길 31-32 (합정동, 지1층)",합정전,한식,192058.503136266,449729.632436778
50.00,서울특별시 마포구 합정동 412-27번지 합정동K빌딩 2층일부 ,"서울특별시 마포구 독막로 31-3 (합정동, 합정동K빌딩 2층일부)",비볼리,경양식,192590.530333772,449589.201367796
95.11,서울특별시 마포구 합정동 356-9번지 1층 ,"서울특별시 마포구 어울마당로3길 5 (합정동, 1층)",당고집,한식,192800.227268901,449444.709247397
26.13,서울특별시 마포구 합정동 437-9 1층우측 ,"서울특별시 마포구 포은로 40 (합정동, 1층우측)",달달식당,한식,191746.769660825,449872.55608231
33.80,서울특별시 마포구 합정동 370-8번지 ,서울특별시 마포구 성지길 39 (합정동),교다이야,한식,192261.383453896,449401.984986859
58.68,서울특별시 마포구 합정동 386-40번지 1층 ,"서울특별시 마포구 양화로3길 37-1, 1층 (합정동)",참숯화로양고기전문점,한식,192078.28563554,449811.8163479
86.32,서울특별시 마포구 합정동 413-16 2층,"서울특별시 마포구 양화로6길 38 (합정동, 2층)",야키토리 쿠이신보 합정점,일식,192530.441813073,449617.18967314
102.70,서울특별시 마포구 합정동 472 마포 한강 푸르지오,"서울특별시 마포구 월드컵로1길 14, 지하1층 B109-2, B110-1호 (합정동, 마포 한강 푸르지오)",금문중화요리,중국식,192171.23539752,449751.486972783
164.00,서울특별시 마포구 합정동 427-20번지 1층 ,"서울특별시 마포구 월드컵로 39 (합정동, 1층)",하동우렁추어탕,한식,192146.390016763,450061.418104522
